score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0.87191355,35.745033,144.0,0.35726175,1,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.8645833,31.979345,144.0,0.6804875,1,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.5520833,34.414307,144.0,0.34292936,2,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.5706019,35.370525,144.0,0.6933015,2,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.9832176,42.037086,144.0,0.41048002,3,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.9552469,51.606182,144.0,0.90695065,3,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.7523148,45.508354,144.0,0.44167584,4,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.7183642,53.161755,144.0,0.952197,4,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.6302083,40.821365,144.0,0.39992598,5,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.7899306,56.647484,144.0,0.9409997,5,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.7330247,37.292114,144.0,0.36807647,6,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.71315587,55.700764,144.0,0.90106773,6,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.8470293,38.437496,144.0,0.3779281,7,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.8568673,47.431133,144.0,0.8374988,7,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.9710648,37.365513,144.0,0.36841282,8,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.97935957,47.041306,144.0,0.8237819,8,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.8674769,40.84906,144.0,0.40043858,9,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.9415509,59.767975,144.0,0.97056633,9,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.896412,0.49623013,144.0,0.0044139246,1,0train,22,2,BNCI2014-001,CSP + LDA
0.91531634,0.43039274,144.0,0.008224609,1,1test,22,2,BNCI2014-001,CSP + LDA
0.5920139,0.47780228,144.0,0.004454607,2,0train,22,2,BNCI2014-001,CSP + LDA
0.6446759,0.52555585,144.0,0.009372109,2,1test,22,2,BNCI2014-001,CSP + LDA
0.9913194,0.5916734,144.0,0.00558456,3,0train,22,2,BNCI2014-001,CSP + LDA
0.9990355,0.50499773,144.0,0.010270972,3,1test,22,2,BNCI2014-001,CSP + LDA
0.8153935,0.4871769,144.0,0.0043155802,4,0train,22,2,BNCI2014-001,CSP + LDA
0.80864197,0.47765565,144.0,0.008573966,4,1test,22,2,BNCI2014-001,CSP + LDA
0.6427469,0.45224595,144.0,0.0040892796,5,0train,22,2,BNCI2014-001,CSP + LDA
0.6126543,0.4397354,144.0,0.007944368,5,1test,22,2,BNCI2014-001,CSP + LDA
0.80459106,0.493083,144.0,0.0043982617,6,0train,22,2,BNCI2014-001,CSP + LDA
0.7004244,0.50687623,144.0,0.008868856,6,1test,22,2,BNCI2014-001,CSP + LDA
0.8240741,0.37695265,144.0,0.003364398,7,0train,22,2,BNCI2014-001,CSP + LDA
0.7033179,0.37091374,144.0,0.0066362484,7,1test,22,2,BNCI2014-001,CSP + LDA
0.99459875,0.580909,144.0,0.00517846,8,0train,22,2,BNCI2014-001,CSP + LDA
0.9859182,0.5307951,144.0,0.00992261,8,1test,22,2,BNCI2014-001,CSP + LDA
0.8412423,0.54434896,144.0,0.004983366,9,0train,22,2,BNCI2014-001,CSP + LDA
0.94232255,0.52601933,144.0,0.009665786,9,1test,22,2,BNCI2014-001,CSP + LDA
0.9365355,9.820816,144.0,0.09869521,1,0train,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.97550154,9.774902,144.0,0.19760077,1,1test,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.55883485,11.372979,144.0,0.109730214,2,0train,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
